OBJECTID;Source_y;Source_x;Destination_y;Destination_x;xyear;Shape_Length;YEAR;DISTANCE
7674;49,012797999999997;2,550000000000000;41,275278000000000;28,751944000000002;2005;27,414349209160203;1/1/2005 0:00:00;2373,652707406850368
7675;49,012797999999997;2,550000000000000;41,275278000000000;28,751944000000002;2005;27,414349209160203;1/1/2005 0:00:00;2373,652707406850368
7676;49,012797999999997;2,550000000000000;41,275278000000000;28,751944000000002;2005;27,414349209160203;1/1/2005 0:00:00;2373,652707406850368
7677;24,906500000000001;67,160797000000002;41,275278000000000;28,751944000000002;2005;42,038742373957625;1/1/2005 0:00:00;4159,968286870722295
7678;41,275278000000000;28,751944000000002;35,561748504599997;45,316738128699903;2005;17,545055401306985;1/1/2005 0:00:00;1643,667198847336977
7679;41,275278000000000;28,751944000000002;35,561748504599997;45,316738128699903;2005;17,545055401306985;1/1/2005 0:00:00;1643,667198847336977
7680;49,012797999999997;2,550000000000000;21,679600000000001;39,156502000000003;2005;46,236732515303700;1/1/2005 0:00:00;4668,330528484968454
7681;24,906500000000001;67,160797000000002;21,679600000000001;39,156502000000003;2005;28,229940024622923;1/1/2005 0:00:00;2536,622393567794461
7682;49,012797999999997;2,550000000000000;21,679600000000001;39,156502000000003;2005;46,236732515303700;1/1/2005 0:00:00;4668,330528484968454
7683;41,275278000000000;28,751944000000002;21,679600000000001;39,156502000000003;2005;22,222190250058940;1/1/2005 0:00:00;2605,743371137501072
7684;24,906500000000001;67,160797000000002;21,679600000000001;39,156502000000003;2005;28,229940024622923;1/1/2005 0:00:00;2536,622393567794461
7685;14,508599999999999;121,019997000000004;21,679600000000001;39,156502000000003;2005;83,110425562309047;1/1/2005 0:00:00;7853,455167869968136
7686;41,275278000000000;28,751944000000002;21,679600000000001;39,156502000000003;2005;22,222190250058940;1/1/2005 0:00:00;2605,743371137501072
7687;24,906500000000001;67,160797000000002;21,679600000000001;39,156502000000003;2005;28,229940024622923;1/1/2005 0:00:00;2536,622393567794461
7688;40,898601532000001;29,309200286900001;21,679600000000001;39,156502000000003;2005;21,625988557557935;1/1/2005 0:00:00;2545,045007504401838
7689;49,012797999999997;2,550000000000000;49,207901000976499;-2,195509910583490;2005;4,749857560732392;1/1/2005 0:00:00;380,936734090529967
7690;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7691;48,723333300000000;2,379444400000000;40,639801030000001;-73,778900149999998;2005;78,356857047597686;1/1/2005 0:00:00;6683,910270303396828
7692;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7693;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7694;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7695;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7696;48,723333300000000;2,379444400000000;40,639801030000001;-73,778900149999998;2005;78,356857047597686;1/1/2005 0:00:00;6683,910270303396828
7697;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7698;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7699;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7700;48,723333300000000;2,379444400000000;40,639801030000001;-73,778900149999998;2005;78,356857047597686;1/1/2005 0:00:00;6683,910270303396828
7701;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7702;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7703;41,275278000000000;28,751944000000002;40,639801030000001;-73,778900149999998;2005;107,296826896829401;1/1/2005 0:00:00;9219,194898801892123
7704;49,012797999999997;2,550000000000000;40,639801030000001;-73,778900149999998;2005;78,577492948175077;1/1/2005 0:00:00;6702,019052875490161
7705;41,275278000000000;28,751944000000002;40,639801030000001;-73,778900149999998;2005;107,296826896829401;1/1/2005 0:00:00;9219,194898801892123
7706;49,012797999999997;2,550000000000000;11,547300338745099;43,159500122070298;2005;56,052516674287098;1/1/2005 0:00:00;5944,378708686118443
7707;41,275278000000000;28,751944000000002;11,547300338745099;43,159500122070298;2005;33,110992759262381;1/1/2005 0:00:00;3979,516358294755264
7708;49,012797999999997;2,550000000000000;-26,139199999999999;28,245999999999999;2005;79,687365685675630;1/1/2005 0:00:00;9655,725572609986557
7709;49,012797999999997;2,550000000000000;-26,139199999999999;28,245999999999999;2005;79,687365685675630;1/1/2005 0:00:00;9655,725572609986557
7710;41,275278000000000;28,751944000000002;-26,139199999999999;28,245999999999999;2005;67,416426458422720;1/1/2005 0:00:00;8527,435839211417260
